daytype,whatday,poi,sw,st,ew,et
0,5,3,2019-09-20,07:00:00,2019-09-20,09:33:46
0,5,2,2019-09-20,09:33:46,2019-09-20,09:55:01
0,5,0,2019-09-20,09:55:01,2019-09-20,12:19:21
0,5,6,2019-09-20,12:19:21,2019-09-20,12:44:15
0,5,0,2019-09-20,12:44:15,2019-09-20,16:14:52
0,5,1,2019-09-20,16:14:52,2019-09-20,18:11:22
0,5,0,2019-09-20,18:11:22,2019-09-20,19:05:51
0,5,2,2019-09-20,19:05:51,2019-09-20,19:41:32
0,5,4,2019-09-20,19:41:32,2019-09-20,23:59:59
0,1,3,2019-09-23,07:00:00,2019-09-23,09:13:31
0,1,2,2019-09-23,09:13:31,2019-09-23,09:35:14
0,1,1,2019-09-23,09:35:14,2019-09-23,11:48:50
0,1,0,2019-09-23,11:48:50,2019-09-23,12:30:51
0,1,6,2019-09-23,12:30:51,2019-09-23,13:05:46
0,1,0,2019-09-23,13:05:46,2019-09-23,18:25:18
0,1,2,2019-09-23,18:25:18,2019-09-23,18:58:28
0,1,0,2019-09-23,18:58:28,2019-09-23,21:53:29
0,1,3,2019-09-23,21:53:29,2019-09-23,23:59:59
0,2,3,2019-09-24,07:00:00,2019-09-24,07:41:38
0,2,2,2019-09-24,07:41:38,2019-09-24,08:01:29
0,2,1,2019-09-24,08:01:29,2019-09-24,09:49:54
0,2,0,2019-09-24,09:49:54,2019-09-24,12:34:48
0,2,2,2019-09-24,12:34:48,2019-09-24,13:05:09
0,2,3,2019-09-24,13:05:09,2019-09-24,18:50:19
0,2,2,2019-09-24,18:50:19,2019-09-24,19:21:56
0,2,0,2019-09-24,19:21:56,2019-09-24,23:24:48
0,2,3,2019-09-24,23:24:48,2019-09-24,23:59:59
0,3,3,2019-09-25,07:00:00,2019-09-25,12:47:15
0,3,2,2019-09-25,12:47:15,2019-09-25,13:31:58
0,3,0,2019-09-25,13:31:58,2019-09-25,18:38:09
0,3,6,2019-09-25,18:38:09,2019-09-25,19:01:46
0,3,0,2019-09-25,19:01:46,2019-09-25,22:52:23
0,3,3,2019-09-25,22:52:23,2019-09-25,23:59:59
0,4,3,2019-09-26,07:00:00,2019-09-26,11:27:53
0,4,2,2019-09-26,11:27:53,2019-09-26,12:10:57
0,4,0,2019-09-26,12:10:57,2019-09-26,17:29:40
0,4,2,2019-09-26,17:29:40,2019-09-26,18:01:22
0,3,0,2019-09-25,18:01:22,2019-09-25,22:51:43
0,4,3,2019-09-26,22:51:43,2019-09-26,23:59:59
0,5,3,2019-09-27,07:00:00,2019-09-27,07:44:26
0,5,2,2019-09-27,07:44:26,2019-09-27,08:04:49
0,5,1,2019-09-27,08:04:49,2019-09-27,11:50:37
0,5,0,2019-09-27,11:50:37,2019-09-27,12:35:43
0,5,2,2019-09-27,12:35:43,2019-09-27,13:14:50
0,5,3,2019-09-27,13:14:50,2019-09-27,17:25:17
0,5,2,2019-09-27,17:25:17,2019-09-27,17:56:10
0,5,0,2019-09-27,17:56:10,2019-09-27,23:39:32
0,5,3,2019-09-27,23:39:32,2019-09-27,23:59:59
0,1,3,2019-09-30,07:00:00,2019-09-30,07:47:32
0,1,2,2019-09-30,07:47:32,2019-09-30,08:13:19
0,1,1,2019-09-30,08:13:19,2019-09-30,11:49:42
0,1,0,2019-09-30,11:49:42,2019-09-30,13:07:20
0,1,5,2019-09-30,13:07:20,2019-09-30,13:49:48
0,1,0,2019-09-30,13:49:48,2019-09-30,18:13:24
0,1,2,2019-09-30,18:13:24,2019-09-30,18:46:51
0,1,3,2019-09-30,18:46:51,2019-09-30,23:59:59
0,2,3,2019-10-01,07:00:00,2019-10-01,09:22:17
0,2,0,2019-10-01,09:22:17,2019-10-01,12:29:52
0,2,6,2019-10-01,12:29:52,2019-10-01,13:02:05
0,2,0,2019-10-01,13:02:05,2019-10-01,16:20:54
0,2,1,2019-10-01,16:20:54,2019-10-01,17:50:09
0,2,2,2019-10-01,17:50:09,2019-10-01,19:00:07
0,2,0,2019-10-01,19:00:07,2019-10-01,22:51:31
0,2,3,2019-10-01,22:51:31,2019-10-01,23:59:59
0,3,3,2019-10-02,07:00:00,2019-10-02,07:39:46
0,3,2,2019-10-02,07:39:46,2019-10-02,08:01:31
0,3,1,2019-10-02,08:01:31,2019-10-02,09:53:27
0,3,0,2019-10-02,09:53:27,2019-10-02,12:26:06
0,3,6,2019-10-02,12:26:06,2019-10-02,13:06:23
0,3,0,2019-10-02,13:06:23,2019-10-02,16:28:35
0,3,1,2019-10-02,16:28:35,2019-10-02,18:28:17
0,3,2,2019-10-02,18:28:17,2019-10-02,19:02:20
0,3,0,2019-10-02,19:02:20,2019-10-02,23:00:38
